goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
S000219973671,48,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"챗GPT·제미나이 캔버스부터 볼트, 러버블, AI 스튜디오, 구글 안티그래비티까지, 설치 없이, 코딩 없이, 대화만으로 완성하는 나만의 AI 수업 도구",공지훈 외,한빛미디어,2026-05-26,10%,19800,22000,1100원,0,3,10.0
S000218191062,49,2026 수제비 정보처리기사 필기 기본서 세트,2025년 기출문제 + 최신 학습자료 PDF 제공 + 온라인 강의,윤영빈 외,수제비출판사,2025-10-13,10%,32400,36000,1800원,0,21,9.9
S000220036708,51,"다시, 소프트웨어 엔지니어",AI 시대에도 결코 대체되지 않을 개발자의 기본 역량과 생존법,네서니얼 슈타 외,책만,2026-05-29,10%,27000,30000,1500원,0,2,10.0
S000219801640,52,AI시대에 난생처음 들어보는 데이터센터 이야기,,김주회,북플레이트,2026-04-30,10%,19800,22000,1100원,0,21,10.0
S000218500350,53,2026 시나공 정보처리기사 필기 기출문제집,,길벗알앤디,길벗,2026-01-05,10%,20700,23000,1150원,0,18,10.0
S000217153329,54,2026 시나공 컴퓨터활용능력 1급 필기 총정리,,길벗알앤디,길벗,2025-08-04,10%,19800,22000,1100원,0,13,9.8
S000220453121,55,원하는 대로 튜닝하는 나만의 sLLM,"비용은 낮게, 보안은 높게, 성능은 내 업무에 딱 맞게!",오지영,길벗,2026-07-07,10%,30600,34000,1700원,0,0,0.0
S000220340265,56,그림으로 이해하는 IT 인프라 구조와 기술,"네트워크, 서버, 클라우드, 웹 시스템, 운영, 장애 대응까지 IT 인프라의 전체 지형도를 한 권으로!",츠루나가 신이치 외,길벗,2026-06-30,10%,19800,22000,1100원,0,6,10.0
S000220004671,57,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,진짜 현장에 필요한 AI 디지털 핵심 도구 41선,송해남 외,프리렉,2026-05-27,10%,24300,27000,1350원,0,14,10.0
S000219075213,58,2026 선넘는 ADsP 데이터분석 준전문가 라임북,,공석민,쏠티북스,2026-01-20,10%,27900,31000,1550원,0,5,10.0
S000218822223,59,2026 아이리포 SQL 개발자 SQLD 모든 것,,조용학,아이리포,2026-01-02,10%,23400,26000,1300원,0,48,10.0
S000217939673,60,AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌 외,한빛미디어,2025-09-30,10%,36000,40000,2000원,0,31,10.0
S000220307813,61,아키텍처는 진화한다,데이터 중심으로 읽는 IT 시스템의 변화 원리,공상휘,인사이트,2026-07-02,10%,25200,28000,1400원,0,1,10.0
S000220176829,62,바로바로 챗GPT X 덕테이프 X 코덱스,"인공지능, 에이전트, Image 2.0, 바이브 코딩, 바로 배우고 바로 써먹는 AI 입문서",박현규,골든래빗(주),2026-06-19,10%,21600,24000,1200원,0,6,10.0
S000219058596,63,코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터, 챗GPT, 멀티 프로필, LLM, MCP, 깃허브",윤재원(단테),골든래빗(주),2026-02-13,10%,25200,28000,1400원,0,9,9.8
S000218787227,64,2026 이기적 리눅스마스터 2급(1·2차) 기본서,동영상 강의 무료 제공 + 또기적 합격자료집 + 최신 기출문제 수록 + CBT 온라인 문제집,권소라,영진닷컴,2026-01-15,10%,25200,28000,1400원,0,13,9.0
S000218676405,65,2026 해커스 전산회계 2급 2주 합격 이론+실무+최신기출 15회분+무료특강,최신기출문제 해설강의｜이론+실무 전 강의｜KcLep 프로그램 사용법 강의｜빈출분개 100선 미니북,이남호,해커스금융,2026-01-02,10%,21600,24000,1200원,0,19,9.9
S000216758905,66,2026 시나공 컴퓨터활용능력 2급 필기 기본서,,길벗알앤디,길벗,2025-06-16,10%,19800,22000,1100원,0,50,9.7
S000218965390,67,2026 에듀윌 SQLD SQL 개발자 2주끝장+무료특강,핵심이론+실전핵심문제+기출 복원 모의고사,김남규,에듀윌,2026-02-11,10%,21600,24000,1200원,0,22,9.7
