goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
191321951,70,7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판),"수익형 숏폼, SNS 광고, 단편 영화까지 장비, 배우, 성우 없이 AI 하나로",홍순성,한빛미디어,2026년 06월,10%,22500,25000,"1,250원",2064,9,10.0
188266803,71,AI시대에 난생처음 들어보는 데이터센터 이야기,,김주회,북플레이트,2026년 04월,10%,19800,22000,"1,100원",9489,17,10.0
191211795,72,Do it! AI 시대에 살아남는 프런트엔드 면접의 기술,대기업 프런트엔드 면접관이 알려 주는 109가지 실전 질문,정희,이지스퍼블리싱,2026년 06월,10%,32400,36000,"1,800원",5445,4,10.0
176410996,73,맛있는 디자인 포토샵&일러스트레이터 CC 2026,누구나 쉽게 배우고 AI 기능까지 제대로 써먹는 그래픽 입문서,"박정아, 윤이사라",한빛미디어,2026년 02월,10%,23400,26000,"1,300원",5517,139,10.0
151066074,74,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,"챗GPT&AI 활용, 모든 버전 사용 가능","전미진, 이화진, 신면철",한빛미디어,2025년 08월,10%,24300,27000,"1,350원",14652,43,9.6
111378840,75,혼자 공부하는 컴퓨터 구조+운영체제,,강민철,한빛미디어,2022년 08월,10%,25200,28000,"1,400원",12702,118,9.8
192583611,76,AI 자율학습 AI 에이전트 개발 입문,"LLM, RAG, Tool Use, Function Calling으로 배우는 AI 에이전트 설계와 구현",박경민,길벗,2026년 07월,10%,28800,32000,"1,600원",1098,1,8.0
190852162,77,클로드 코워크,24시간 일하는 나만의 맞춤형 AI 비서,신승희,생능북스,2026년 06월,10%,21600,24000,"1,200원",3153,26,10.0
192155530,78,다름을 연결하는 교실 설계자가 되기 위한 필수 실천서! AI 에듀테크로 다문화 수업 쉽게 설계하기!,"수노AI, 스케치북, 캔바, 젭퀴즈, 패들렛, 바이브코딩, 김킷, 노트북 LM, 투닝, 러버블, 노션, 크랙, 북 크리에이터, 퀴즐렛","유영미, 유예찬, 이근경, 이효진, 정홍교 외 10명 정보 더 보기/감추기 유영미 유예찬 이근경 이효진 정홍교 박천용 김승환 송지영 김민주 양은숙 손지후 강동호 김가람 오지현 오가람",광문각출판미디어,2026년 06월,0%,20000,20000,0원,3066,32,10.0
191321747,79,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이,"나노바나나, Omni, 노트북LM, 구글 AI 스튜디오를 활용한 학교 수업 자료 만들기","김태훈, 손민지, 김한나",한빛미디어,2026년 06월,10%,19800,22000,"1,100원",1860,8,10.0
191018764,80,AI 생존 지도,질문 자본가의 시대,이석현,여림재,2026년 06월,10%,18000,20000,"1,000원",3897,7,10.0
190210781,81,이게 되네? 클로드 MCP 커넥터 미친 활용법 31제,"클로드 설치, 스킬, 리서치부터 노션, 옵시디언, 엑셀, 구글 드라이브, 캔바, 피그마, 어도비, 공공데이터, 깃허브, 버셀 배포까지 일잘러의 AI 대통합 업무 자동화","박현규, 김성경",골든래빗,2026년 06월,10%,21600,24000,"1,200원",2286,5,8.8
188600611,82,이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제,"포토샵 없이 제미나이로 5초 컷! 프리픽, 씨드림, 미드저니까지 나만의 AI 사진관 한 권으로 끝내기",쌩초,골든래빗,2026년 05월,10%,21600,24000,"1,200원",2514,97,10.0
187927629,83,AI 실전 마스터 칼릭스의 프롬프트 디테일,"크리에이티브 프레임워크, 워크플로우, AI 에이전트, 바이브코딩, 기획부터 코딩까지 바로 써먹는 기적의 프롬프트 템플릿",칼릭스(손윤석),한빛비즈,2026년 04월,10%,19800,22000,"1,100원",6432,12,9.7
183919456,84,모두의 노션 AI,초보자도 바로 써먹는 노션 입문서,"임대균, 오가연",생능북스,2026년 04월,10%,15120,16800,160원,2775,52,9.8
142814138,85,된다! 하루 만에 준비하는 AI 학교 수업 활용법,"with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI","정인걸, 김경수",이지스퍼블리싱,2025년 03월,10%,17820,19800,990원,17535,39,10.0
192470678,86,아키텍처는 진화한다,데이터 중심으로 읽는 IT 시스템의 변화 원리,공상휘,인사이트(insight),2026년 07월,10%,25200,28000,"1,400원",1488,0,0.0
192878493,87,딥 유토피아,초지능이 완성한 세상에서 삶은 무엇으로 채워지는가,닉 보스트롬/김의석 역,까치(까치글방),2026년 05월,10%,25200,28000,280원,660,0,0.0
